ID,Review Date,Location,Hotel/Restaurant name,Review
rn493128896,"Reviewed June 14, 2017 ", Chalong,Baan Noy Restaurant,"While in Phuket for 5 days, we asked our Put Put Driver, Thiem, to recommend an exceptional Thaï restaurant. He had heard of Baan Noy, was not sure where it was and looked it up on his cell phone. He drove 6 of us there,...More"
rn492932145,"Reviewed June 14, 2017 ", Chalong,Baan Noy Restaurant,The staff at Baan Noy were very tentative and friendly. The food was amazing! Try the honey roasted pork ribs! Definitely recommend paying this hidden jewel a visit.
rn492627823,"Reviewed June 12, 2017 ", Chalong,Baan Noy Restaurant,"Extraordinary place in the middle of nowhere on Phuket.
Very quiet place with perfect food and friendly owner, who glad to chat with guest.More"
rn491556735,"Reviewed June 8, 2017 ", Chalong,Baan Noy Restaurant,"Found several reviews on this restaurant and a bunch of us decided to go for dinner. No reservations were necessary, but then again we were there in low season.
We were very skeptical when we got there as the restaurant is tacked away down in...More"
rn491436257,"Reviewed June 8, 2017 ", Chalong,Baan Noy Restaurant,"It is very simple, but very tasty, warm and welcome place! I have a lunch here almost every day, I think the best tom yam I tested, actually big choice of good fish. Do recommend to visit!"
rn487602331,"Reviewed May 25, 2017 ", Chalong,Baan Noy Restaurant,"Came here because of TripAdvisor recommendation. I was a little bit skeptical a first, but honestly the best restaurant I've ever had in Chalong, let along Thailand itself.More"
rn483621118,"Reviewed May 12, 2017 ", Chalong,Baan Noy Restaurant,"A group of us went to have dinner at Baan Noy and were extremely happy with it! The food was the best we had in the area and the owner/chef and her husband were very hospitable. The staff was excellent and helpful.
The highlight of...More"
rn483160392,"Reviewed May 10, 2017 ", Chalong,Baan Noy Restaurant,"Excellent Thai food, restaurant is away from the street which gives it a more quiet and classy ambiance."
rn482845428,"Reviewed May 9, 2017 ", Chalong,Baan Noy Restaurant,Just incase anyone was wondering this little restaurant has not lost its charm or its quality in food. we hadn't been for a while but returned for lunch and had a super meal the only thing that I was sad about was I was too...More
rn481147597,"Reviewed May 2, 2017 ", Chalong,Baan Noy Restaurant,"This restaurant is in the top of my favorite restaurants in Phuket. All dishes prepared with love and personality. We tried almost everything.
From starters I would like to mention spring rolls with shrimp and shrimp wrapped in bacon - real jam!
From the main...More"
rn477852157,"Reviewed April 21, 2017 ", Chalong,Baan Noy Restaurant,The place is a little off the main road. We arrived about 30 min early before the place opened but were greeted with a warm welcome from the owner and other staff. He allowed us to sit and start with coffee as they prepared the...More
rn477317830,"Reviewed April 19, 2017 ", Chalong,Baan Noy Restaurant,We were advised to visit this restaurant by friends in South Africa. This is our third visit in one week. What a lovely family atmosphere & we were given a great welcome each time. We could see that they have regular visitors who have continued...More
rn473529175,"Reviewed April 8, 2017 ", Chalong,Baan Noy Restaurant,"Food, service, atmosphere - everything was just perfect. Recommend to everybody! We visited this restaurant 3 days in a row and every day discovered different dishes. That was worth of trying"
rn472909887,"Reviewed April 5, 2017 ", Chalong,Baan Noy Restaurant,"We came here based on the Trip Advisor reviews and rating. We were not disappointed. We had Thai food, and all dishes were very good. The duck red curry was really flavoursome, so was the fish and mango salad.More"
rn471094506,"Reviewed March 29, 2017 ", Chalong,Baan Noy Restaurant,The food was very tasty and the service excellent. Good thai kitchen. All the dessert tasted all were delicious. definitely recommendable.
rn471094498,"Reviewed March 29, 2017 ", Chalong,Baan Noy Restaurant,"Service and food is fantastic.
Really good Thai food.
I can recommend the Chocolate Lava cake.
We will come again :)More"
rn470797391,"Reviewed March 28, 2017 ", Chalong,Baan Noy Restaurant,"I should have reviewd this place long time ago. I have been living in Phuket past few months and have tried many resturants. This one is without a doubt the BEST. Owners are super friendly and the food is amazing.
When you eat the food...More"
rn463674825,"Reviewed March 1, 2017 ", Chalong,Baan Noy Restaurant,I am Thai but living in the UK and so needed to give this place a try and found the food very pleasant. Ordered the shrimp cakes for starter which we were told were homemade and we could definately tell - beautiful! My partner and...More
rn463253528,"Reviewed February 27, 2017 ", Chalong,Baan Noy Restaurant,"Well, today I decided to take my girlfriend out for a romantic diner in Chalong, Phuket. I found this place using tripadvisor and followed the reviews.
I wasn't disappointed at all...yes it was hard to find (when you see the sign: it doesn't mean ""next...More"
rn462510411,"Reviewed February 24, 2017 ", Chalong,Baan Noy Restaurant,"German owner with German precision in every way
We went after good TA reviews and aren't disappointed
Real Clean Table cloths
Real napkins not paper
Everything is clean no in fact spotless !
Smiling staff
Polite staff
Polite owner
Fast service
Not thai style we...More"
rn461088886,"Reviewed February 19, 2017 ", Chalong,Baan Noy Restaurant,"Fred & Tai made us feel like we were their guests in the restaurant, not just a customer. The food was amazing, I've never had Thai food this good before. To finish the evening with lovely Lava Cake just superb. We loved the food and...More"
rn458647266,"Reviewed February 11, 2017 ", Chalong,Baan Noy Restaurant,"We have travelled around Asia for the past 20 years and had a few thai dishes during that time. My Wife loves green chicken curry but has been unable to find the perfect curry ...
until finding this restaurant that is. It's not often I...More"
rn458427130,"Reviewed February 9, 2017 ", Chalong,Baan Noy Restaurant,"It is located in a house on a small alley. Took us some time to find it. There's a signage before turning in to the road, look closely if not you'll miss it. Food were really delicious. We had the red curry and coconuts were...More"
rn457614798,"Reviewed February 6, 2017 ", Chalong,Baan Noy Restaurant,"Went for dinner with a friend, ordered 6 items on the menu (apart from drinks) - the food and service exceeded expectations. The owner came later and he was very friendly with all guests, making sure everything was fine at all tables. It was almost...More"
rn456479672,"Reviewed February 1, 2017 ", Chalong,Baan Noy Restaurant,It did not meet my expectation.... it was around 3ish PM when we arrived after walking in the hot sun and was expecting the food and service to be great having read a lot of wonderful reviews. It was such a disappointment… the service was...More
rn456380215,"Reviewed February 1, 2017 ", Chalong,Baan Noy Restaurant,"Went for dinner with our 2 kids - both European and Thai food was delicious, a scallop starter the standout dish. Great value ice-cream for the kids. Really friendly owners too - we'll be back!"
rn456049497,"Reviewed January 30, 2017 ", Chalong,Baan Noy Restaurant,"This place does not look like much, but the food is really good and staff is very friendly.
Both menus are very good ( western and thai ). We had lamb shops and pad thai. Both very tasty."
rn455923870,"Reviewed January 30, 2017 ", Chalong,Baan Noy Restaurant,Can't understand how this ordinary local restaurant is getting such rave reviews. No way can this be placed in the top 10 of 2500 restaurants in Phuket. The menu and decor is similar to 1000's of other local Thai places .. nothing distinctive. I had...More
rn455103925,"Reviewed January 26, 2017 ", Chalong,Baan Noy Restaurant,"I had a tender beef with great peppersauce. Best restaurant in the area/ Chalong.
Best regards Nikolaj Filtenborg Weir"
rn454869619,"Reviewed January 25, 2017 ", Chalong,Baan Noy Restaurant,"Went to restaurant on our last night with friends and it lived up to its reputation.
Great service.
Great mojitos.
Food all freshly cooked.
Yellow noodles with prawns- delicious.
However icing on the meal was chocolate lava cake with ice cream.-- we shared two between...More"
rn454401227,"Reviewed January 23, 2017 ", Chalong,Baan Noy Restaurant,"The best restaurant on Phuket!
Friendly stuff good food in a quiet place environment
I aet there several times during the same trip."
rn453042440,"Reviewed January 18, 2017 ", Chalong,Baan Noy Restaurant,"Beautiful setting, away from the big road, with only a handful tables. Mains are good, but the chocolate lava cake for desert is the real highlight! Make sure to order min. one!More"
rn452127591,"Reviewed January 15, 2017 ", Chalong,Baan Noy Restaurant,Very cute place with so delicious menu. We were tasted a lot of different thinks: shrimps in the beacon; salmon in the grill with vegetables; thai noodles with sea food and of course the best dessert chocolate cake with ice cream; everything was cooked very...More
rn451828005,"Reviewed January 13, 2017 ", Chalong,Baan Noy Restaurant,"I've just moved into a nice new condo in the area, so love this place on my doorstep... Very nice food with nice and friendly service..More"
rn451184774,"Reviewed January 11, 2017 ", Chalong,Baan Noy Restaurant,"Hands down the best restaurant in Phuket. Located in a quite street, this little restaurant is perfect for a quite and romantic night out. I had the duck and my partner had the fish, both dishes were to die for. (The flavours were something else)...More"
rn450127415,"Reviewed January 7, 2017 ", Chalong,Baan Noy Restaurant,"Frank and Tai are two of the nicest and most genuine people we have ever met! Thanks again Trip Advisor for finding us this gem of a restaurant!
From start to finish, we were welcomed with open arms - literally! We had great food, great...More"
rn449863428,"Reviewed January 6, 2017 ", Chalong,Baan Noy Restaurant,"We had this place recommended to us by a local ex-pat. The food was so good, we returned 5 nights out of the 7 we were in Phuket. The only down-side is that the owner, Fred needs to change the music occasionally. I still have...More"
rn449530322,"Reviewed January 5, 2017 ", Chalong,Baan Noy Restaurant,"We came to this restaurant with our kids to have a dinner. We came especially from an island outside Phuket. We had a long drive but it was all worth it.
We had a fantastic dinner over there. We had a Thai food where our...More"
rn449022915,"Reviewed January 3, 2017 ", Chalong,Baan Noy Restaurant,"I liked the no-frills yet charming venue. Because you clearly go to Baan Noy for the food, the glorious Thai food!
Great service and reasonable prices.
Highly recommended.More"
rn448771201,"Reviewed January 2, 2017 ", Chalong,Baan Noy Restaurant,"We chose this restaurant further to the comments I read and I can confirm that the thai food is very good (we didn't test European food).
Everything is cooked at the demand with fresh ingredients therefore it takes some time to be prepared and despite...More"
rn446622249,"Reviewed December 25, 2016 ", Chalong,Baan Noy Restaurant,"This little gem is tucked away, but well worth looking for. The food is amazing - fresh & delicious - (the Tom Yum Goong is easily the best we've eaten & our Scallop entree was to die for). The restaurant is small but homey &...More"
rn446291578,"Reviewed December 23, 2016 ", Chalong,Baan Noy Restaurant,Our first time in Phuket staying in Karon and totally underwhelmed by the identikit production line Thai food places at over inflated prices until... we found Baan Noy ( by recommendation on TA). Fred and his wife are the perfect hosts whilst they share lovingly...More
rn443050484,"Reviewed December 9, 2016 ", Chalong,Baan Noy Restaurant,"Okay.. what we tried .. end to start
Krepe ice cream.. coconut and strawberries... FRESH and WOW!!
Yellow Noodles with Veg and Chicken... The Best!!
Fried Rice Vegetables with Egg... Amazing!!
And 4 more plates. We finished them all even though we were full at...More"
rn442862117,"Reviewed December 8, 2016 ", Chalong,Baan Noy Restaurant,"Down and out restaurant, few tables under a tarpaulin tenses between two bare walls.
Low quality dishes. Very Bad experience. I'll never come back!
My opinion this is the worse risto in Chalong/Phuket.More"
rn441309345,"Reviewed December 1, 2016 ", Chalong,Baan Noy Restaurant,"Our taxi driver knew exactly where to go, and told us he had heard a lot of positive feedback...he then took us off a side road and down an alley, and there appears this open fronted diner, unpretentious, but filled with love.
My wife and...More"
rn441224526,"Reviewed November 30, 2016 ", Chalong,Baan Noy Restaurant,"Prices, customer service, portions, and plate time are perfect! The staff was very quick and eager to get us fed. My husband and I showed up to this little 'hole in the wall' where we were welcomed and seated. There aren't too many tables here...More"
rn440200229,"Reviewed November 26, 2016 ", Chalong,Baan Noy Restaurant,"Found by coincidence this restaurant on TripAdvisor. For us it was a long drive from north of Phuket town area but ............. it was well worth the trip !
Excellent food, good service and friendly owners.
It's not easy to find so you can really...More"
rn438509985,"Reviewed November 19, 2016 ", Chalong,Baan Noy Restaurant,"We arrived thirty minutes before closing and despite of it we were received well, had advice on what to eat and the food was well prepared. We asked for chiken fried noodles and for rice with pineapple, which was delicious. We finished the night with...More"
rn437420710,"Reviewed November 15, 2016 ", Chalong,Baan Noy Restaurant,"We visited the restaurant today, based on the good reviews we read in TripAdvisor. Although it is almost hidden, I feel lucky we eventually found it. It reminded me a lot the setup of a Greek restaurant, so from the beginning it felt quite familiar....More"
rn437311429,"Reviewed November 14, 2016 ", Chalong,Baan Noy Restaurant,"Went with my sister and her husband who happen to live near by but had not been here. We asked for recomendations and the mangosteen seafood salad was just beautiful..I could have had another serve, also the fresh vegie stir fry , scallops and whole...More"
rn437014762,"Reviewed November 13, 2016 ", Chalong,Baan Noy Restaurant,"This place is wonderful with amazing food, perfect for a homestyle lunch / dinner. Served by a lovely family. You will not eat better in Phuket!"
rn435827788,"Reviewed November 9, 2016 ", Chalong,Baan Noy Restaurant,"Amazing food here, had the chicken with cashew nut, roasted red duck curry and honey ribs which was all really really good local Thai food. Then topped off the amazing meal with the famous lava cake which didn't disappoint!!
Defiantly worth a visit to this...More"
rn435774997,"Reviewed November 9, 2016 ", Chalong,Baan Noy Restaurant,Most delicious home cooked food we have eaten in Phuket! Definitely recommend and we will most definitely be back! Thank you to Fred and his lovely wife!
rn434573250,"Reviewed November 4, 2016 ", Chalong,Baan Noy Restaurant,"If you find yourself in Phuket you MUST make time to visit this wonderful restaurant hidden away on Patak Road, Chalong. The food is truly international and exceptional and the ambience first class.
This friendly gastronomic delight is well worth visiting and can only add...More"
rn433392954,"Reviewed October 31, 2016 ", Chalong,Baan Noy Restaurant,Very friendly stuff. And all of them in Haloween mood. The food we had was awesome and the portions are big. Thank you.
rn433154535,"Reviewed October 31, 2016 ", Chalong,Baan Noy Restaurant,"Small but top. Without any thing ""too much"" about the Restaurant, but the importance is done with the very fresh and exquisit food. It is not only delicious, but else an paradise for the eyes to see how the Chef (is is the lady herself...More"
rn429949309,"Reviewed October 20, 2016 ", Chalong,Baan Noy Restaurant,We've been there twice now with my girlfriend and have had the pleasure to taste Fred & his wife's cooking! The chef (his wife) have worked in several renowned 5 Star restaurants in the past and applies her knowledge and skills in the gourmet cuisine...More
rn427610556,"Reviewed October 13, 2016 ", Chalong,Baan Noy Restaurant,"My wife and I were lucky enough to stumble across this place on our last night in Phuket. The food is absolutely incredible. All fresh made right in their home which is also the restaurant. The service feels like you're actually at their house, eating...More"
rn426021197,"Reviewed October 7, 2016 ", Chalong,Baan Noy Restaurant,"My husband and I were staying in the area and saw that this restaurant was one of the top rated ones in Phuket on Trip Advisor.
It is well worth a visit. Down an alleyway and not very large, Fred, the owner, was very warm...More"
rn424580363,"Reviewed October 2, 2016 ", Chalong,Baan Noy Restaurant,"We were in Phuket for a few days and had read a few reviews about Baan No.The reviews do not do justice to what we experienced in Person.
The food was outstanding along with the service and ambience.
It has a perfect Homely feel (Actually...More"
rn422700634,"Reviewed September 26, 2016 ", Chalong,Baan Noy Restaurant,On a week long trip to Phuket we tried every highly rated Trip Advisor restaurants around the Rawai and Nai Harn area. On our last evening we decided to try Baan Noy and we weren't disappointed. The couple that runs this hidden jewel is Fred...More
rn422683473,"Reviewed September 26, 2016 ", Chalong,Baan Noy Restaurant,We read about Baan Noy on Tripadvisor before we got to Phuket and decided to check it out and we were not dissapointed.The food cooked by the Mrs (heading the kitchen) was absolutely stunning.All the items from the menu as well as recommended by them...More
rn421668691,"Reviewed September 24, 2016 ", Chalong,Baan Noy Restaurant,We were up at the Big Buddha wanting some lunch. I checked trip advisor and found this place. The staff and the owners were so friendly and the food was fresh and fast. I have a seafood allergies and they made everything fresh so I...More
rn419096165,"Reviewed September 16, 2016 ", Chalong,Baan Noy Restaurant,"Had read about this restaurant on trip advisor before our trip to Phuket. Not the easiest place to find but it was so worth the search.
On arrival we were greeted by Fred, his beautiful wife and the aromas of fresh Thai cooking.
From the...More"
rn415557694,"Reviewed September 6, 2016 ", Chalong,Baan Noy Restaurant,"Afgelopen maandag hier gegeten en het was echt fantastisch! Vooral Europese gerechten op en was helemaal top. Vooral de lava cake is ongekend lekker. Als je op phuket bent, moet je echt hier gegeten hebben. Fred en zijn vrouw (de eigenaren) zijn super aardig en...More"
rn414978136,"Reviewed September 5, 2016 ", Chalong,Baan Noy Restaurant,"We discovered this gem while on TripAdvisor. Fred and his wife made us feel at home. Oh the food, absolutely delicious! A huge menu and variety. Fresh ingredients with amazing flavors. This family takes pride of what they make. We had a great meal and...More"
rn580954597,Reviewed 3 days ago , Cape Panwa,Curry Night Indian Restaurant,We visited Curry Night last night. The chicken tikka masala was amazing. The Naans were very yummy too. We are still here for a few more nights so will definitely be back again. Lovely family run restaurant and lovely people!
rn580828401,Reviewed 3 days ago , Cape Panwa,Curry Night Indian Restaurant,"We have just visited Curry Night
Fantastic food, lovely people
10/10
Definitely will return
One of the best Indians we have had"
rn578694602,Reviewed 1 week ago , Cape Panwa,Curry Night Indian Restaurant,"We stayed at Pullman , Panwa and Curry night was bang opposite the hotel. We stayed for 3 nights and ended up going there all the three nights. They made Phulkas , Dhal and Veges in homemade style . Food was very healthy and tasty...More"
rn577779462,Reviewed 2 weeks ago , Cape Panwa,Curry Night Indian Restaurant,"We had a lovely night and meal. A few steps from the Pullman over the road, up the stairs.
Had sizzling chicken, chicken tikka masala and a delicious veg curry.
Evening topped off with a visit from the owners little girl who gave us high...More"
rn577406621,Reviewed 2 weeks ago , Cape Panwa,Curry Night Indian Restaurant,"Lovely meal here at The Curry Night. We stayed at The Amatara Resort and it’s a short 5 minute walk from the resort. The food was delicious! Best Indian food we’ve had in a long time. The service was great, lovely people. We had a...More"
rn577068065,Reviewed 2 weeks ago , Cape Panwa,Curry Night Indian Restaurant,"We ate here a couple of times very very good food.Great service <f0><U+009F><U+0098><U+008A> Authentic vegetarian food. Also delivered to the resort. Things to try Bombay aloo, Aloo mutter, yellow dal ."
rn572640093,"Reviewed April 11, 2018 ", Cape Panwa,Curry Night Indian Restaurant,Very good Dinner .... perfect<f0><U+009F><U+0091><U+008C> Very friendly Anita top host. We like it. And next year we come back....
rn571667520,"Reviewed April 7, 2018 ", Cape Panwa,Curry Night Indian Restaurant,"A really nice curry house serving all the delicious dishes we have at home. The place was full when we went in which showed us it must be decent.
The poppadom and dips weren’t the usual mango chutney and onions we get from home but...More"
rn570924348,"Reviewed April 3, 2018 ", Cape Panwa,Curry Night Indian Restaurant,Curry night is basically dream come true for me and my boyfriend. We're totally in love with the amazing flavours. The people are friendly which in my opinion is one of the most important ingredient to a restaurant and the fact that they deliver is...More
rn570103538,"Reviewed April 1, 2018 ", Cape Panwa,Curry Night Indian Restaurant,Traditional Indian food . Big portions. Very delicious. Absolutely friendly staff. Nice environment. Open till 11 at night.
rn569964036,"Reviewed March 31, 2018 ", Cape Panwa,Curry Night Indian Restaurant,"Stumbled upon this whilst looking for a place to eat near the hotel. Food was great- actually tasted like proper Indian food. Palak paneer (spinach and cottage cheese) was our favourite.
Worth an evening dinner. Had a family vibe!!
Thank you :)"
rn568863981,"Reviewed March 26, 2018 ", Cape Panwa,Curry Night Indian Restaurant,If you get a chance to eat here do so the people that own it are friendly and polite but the food it's probably one of the best Indian places I've eaten at in Thailand or home.
rn568834316,"Reviewed March 26, 2018 ", Cape Panwa,Curry Night Indian Restaurant,"- very friendly stuff
- best Indian food I have eaten so far
Been there twice already during our stay and would return. Absolutely recommended to try."
rn568834183,"Reviewed March 26, 2018 ", Cape Panwa,Curry Night Indian Restaurant,"We had dinner here twice during our stay in the Pullman, right across the street.
The owner provides an excellent variety of Indian dishes, super tasty and fresh!
Interior is basic but clean, staff is friendly and warm hearted!
I recommend the chicken madras with...More"
rn567602590,"Reviewed March 19, 2018 ", Cape Panwa,Curry Night Indian Restaurant,"I arrived in the morning, I slept all evening and wanted to eat after 11pm. I just went by, saw the manager at the balcony, and asked : still open ? ""yeah no problem"" it was 11;30 pm.
As usual, great food, excellent service. One...More"
rn567602152,"Reviewed March 19, 2018 ", Cape Panwa,Curry Night Indian Restaurant,"Great service and absolute perfect food.
Recommendation:
Garlic naan
Curry madras
Chickeb tikka masalla
Coconut shake and chang for sure ;)
We will come back!"
rn566658408,"Reviewed March 15, 2018 ", Cape Panwa,Curry Night Indian Restaurant,We hadn’t planned on having Indian food. We walked past the restaurant and decided we would pop in. The food was delicious and well spiced. Very much enjoyed by all the family.
rn566066000,"Reviewed March 12, 2018 ", Cape Panwa,Curry Night Indian Restaurant,"It was ok... it is not the best indian ever but you can eat correctly for a reasonable price
We will not come again but it was quite nice"
rn562250474,"Reviewed February 22, 2018 ", Cape Panwa,Curry Night Indian Restaurant,"Being vegetarian and going Thailand was not going to be easy. Especially as i am the most picky eater there is!!
We had high hopes for our hotel food as it was a 5 star hotel, but the food was pants.
Our honeymoon was 3weeks...More"
